atom_type,atom_value
domain,0brandaeyes0.xyz
domain,0storageatools0.xyz
domain,41.me
domain,abrahackbugs.xyz
domain,apacheorg.top
domain,burpcollaborator.net
domain,cuminside.club
domain,dnslog.cn
domain,guiatvpro.com
domain,leakix.net
domain,log4shell-iocs.md
domain,medusabotnet.com
domain,mj12bot.com
domain,rce.ee
domain,redteam.tf
domain,scanworld.net
domain,service-management.tk
domain,shack2.org
domain,tabak.hr
fqdn,169745c9aebb.bingsearchlib.com
fqdn,17.21fqfx.dnslog.cn
fqdn,1702e2f8aa8e.bingsearchlib.com
fqdn,17db07985c26.bingsearchlib.com
fqdn,184dcac8da3c.bingsearchlib.com
fqdn,18643f1cd643.bingsearchlib.com
fqdn,1989.ccg42f.dnslog.cn
fqdn,1ab1b9cbdbd6.bingsearchlib.com
fqdn,1c076c450ae4.bingsearchlib.com
fqdn,1c788b4a217b.bingsearchlib.com
fqdn,1e50d3412af4.bingsearchlib.com
fqdn,1f0e4d34cb8f.bingsearchlib.com
fqdn,1fd8e7dfffef.bingsearchlib.com
fqdn,2106e8634be7.bingsearchlib.com
fqdn,22.21fqfx.dnslog.cn
fqdn,223bdb31890b475c.y.psc4fuel.com
fqdn,224bb1fc26e9.bingsearchlib.com
fqdn,22524e9c8fbb.bingsearchlib.com
fqdn,2527ae46a154.bingsearchlib.com
fqdn,2567c2c73758.bingsearchlib.com
fqdn,258b23992ec8.bingsearchlib.com
fqdn,262ade32441e.bingsearchlib.com
fqdn,2672fdd4d9dc.bingsearchlib.com
fqdn,2674bae11493.bingsearchlib.com
fqdn,2695b5cbef34.bingsearchlib.com
fqdn,26bfa31a.probe001.log4j.leakix.net
fqdn,2769ffc08aae.bingsearchlib.com
fqdn,2783.ccg42f.dnslog.cn
fqdn,2862853fca0b.bingsearchlib.com
fqdn,29e3059e832c.bingsearchlib.com
fqdn,2aac03639b45.bingsearchlib.com
fqdn,2c66efb5fd84.bingsearchlib.com
fqdn,2fecf78c35d9.bingsearchlib.com
fqdn,2fff1c940e94.bingsearchlib.com
fqdn,3002.ccg42f.dnslog.cn
fqdn,3107c80c1e2e.bingsearchlib.com
fqdn,31238eb3beff.bingsearchlib.com
fqdn,3258e8677d68.bingsearchlib.com
fqdn,33d280df2b53.bingsearchlib.com
fqdn,34c20860658b.bingsearchlib.com
fqdn,3564a4a65bc8.bingsearchlib.com
fqdn,36e18fd31a0f.bingsearchlib.com
fqdn,380103eb7aeb.bingsearchlib.com
fqdn,39fd3743.probe001.log4j.leakix.net
fqdn,3adfbdeec1fe.bingsearchlib.com
fqdn,3be6466b6a20.bingsearchlib.com
fqdn,3c0499e3d24c.bingsearchlib.com
fqdn,3ce54779494f.bingsearchlib.com
fqdn,3df3bd70.probe001.log4j.leakix.net
fqdn,3e4a2d90c99b.bingsearchlib.com
fqdn,3f7153422cf8.bingsearchlib.com
fqdn,40565954636b.bingsearchlib.com
fqdn,42fe37ef1663.bingsearchlib.com
fqdn,447d3a339473.bingsearchlib.com
fqdn,4568-3409-8076-3389.service.exfil.site
fqdn,45a046dc35a2.bingsearchlib.com
fqdn,45cecd2f38ca.bingsearchlib.com
fqdn,46d97df39a02.bingsearchlib.com
fqdn,47.252.24.16.qpgu9j.dnslog.cn
fqdn,484aa866cd6c.bingsearchlib.com
fqdn,4c3564dc3448.bingsearchlib.com
fqdn,4ee46526baa2.bingsearchlib.com
fqdn,4ef6f10dd8a2.bingsearchlib.com
fqdn,4f894784b6ef.bingsearchlib.com
fqdn,4fd955429073.bingsearchlib.com
fqdn,5.21fqfx.dnslog.cn
fqdn,5015222e57dc.bingsearchlib.com
fqdn,5151e4c6.probe001.log4j.leakix.net
fqdn,5366eae72dec.bingsearchlib.com
fqdn,53b21c570edb.bingsearchlib.com
fqdn,5463610592ef.bingsearchlib.com
fqdn,54c015aff381.bingsearchlib.com
fqdn,54f1f64c.probe001.log4j.leakix.net
fqdn,56f85f126bde.bingsearchlib.com
fqdn,5799e6d71743.bingsearchlib.com
fqdn,57de040ef070.bingsearchlib.com
fqdn,5a2b71f87340.bingsearchlib.com
fqdn,5a5091fe2ddf.bingsearchlib.com
fqdn,5a8acd64bd7b.bingsearchlib.com
fqdn,5b34dfe20522.bingsearchlib.com
fqdn,5dc0a7c0c28f.bingsearchlib.com
fqdn,5e7baaf46dc0.bingsearchlib.com
fqdn,5f396380.probe001.log4j.leakix.net
fqdn,5z55z3.dnslog.cn
fqdn,60ec26e4b948.bingsearchlib.com
fqdn,6158f89dd8de.bingsearchlib.com
fqdn,61f3457f.probe001.log4j.leakix.net
fqdn,6247f54cc093.bingsearchlib.com
fqdn,63.231.117.47.5f3gyn.dnslog.cn
fqdn,633b4627b3d0.bingsearchlib.com
fqdn,63a4925ae323.bingsearchlib.com
fqdn,63e16b3f6f15.bingsearchlib.com
fqdn,64018b38d1bd.bingsearchlib.com
fqdn,652b376d5234.bingsearchlib.com
fqdn,6622a5adc159.bingsearchlib.com
fqdn,6773d21e7f76.bingsearchlib.com
fqdn,688f1d892ac3.bingsearchlib.com
fqdn,690f3230afae.bingsearchlib.com
fqdn,691c3f1c.probe001.log4j.leakix.net
fqdn,6939.ccg42f.dnslog.cn
fqdn,6c73ac5805a6.bingsearchlib.com
fqdn,6cb8a5e9af80.bingsearchlib.com
fqdn,6de5edddb4c2.bingsearchlib.com
fqdn,6e5b1dd3f566.bingsearchlib.com
fqdn,6f22b0f41706.bingsearchlib.com
fqdn,70aa6f2a62f7.bingsearchlib.com
fqdn,70c335a0d813.bingsearchlib.com
fqdn,71.rjunm4.dnslog.cn
fqdn,713cf0ac1632.bingsearchlib.com
fqdn,71b4d4928c65.bingsearchlib.com
fqdn,71ssmbjqg7ezpoqt8okre7gzu.canarytokens.com
fqdn,72dcfc1dddc0.bingsearchlib.com
fqdn,73.rjunm4.dnslog.cn
fqdn,736ee1e7b59c.bingsearchlib.com
fqdn,73aa4d043a06.bingsearchlib.com
fqdn,74ab269aefd0.bingsearchlib.com
fqdn,753741cf5e16.bingsearchlib.com
fqdn,753802a2fd2a.bingsearchlib.com
fqdn,772c06b5ef9c.bingsearchlib.com
fqdn,7741.ccg42f.dnslog.cn
fqdn,785780daf45b.bingsearchlib.com
fqdn,79f971315e86.bingsearchlib.com
fqdn,7ae364cd167c.bingsearchlib.com
fqdn,7b28da85d1fc.bingsearchlib.com
fqdn,7c3bdfa7e63d.bingsearchlib.com
fqdn,7cc8976f0f63.bingsearchlib.com
fqdn,7d8f7f6b4d13.bingsearchlib.com
fqdn,7d90568d1cd1.bingsearchlib.com
fqdn,7e8e4bc5.probe001.log4j.leakix.net
fqdn,8078d8030779.bingsearchlib.com
fqdn,80b53c62a6f4.bingsearchlib.com
fqdn,818231ed351f.bingsearchlib.com
fqdn,81f3c543.probe001.log4j.leakix.net
fqdn,81f487a10cb5.bingsearchlib.com
fqdn,824e2d2c2e86.bingsearchlib.com
fqdn,82a18741e589.bingsearchlib.com
fqdn,842c8a9493e8.bingsearchlib.com
fqdn,8637e64b7fda.bingsearchlib.com
fqdn,8659.ccg42f.dnslog.cn
fqdn,8674fcff449f.bingsearchlib.com
fqdn,86dbc792b7d4.bingsearchlib.com
fqdn,876c3c85c4f2.bingsearchlib.com
fqdn,88875217d50a.bingsearchlib.com
fqdn,88c40a34cf52.bingsearchlib.com
fqdn,89598b9a.probe001.log4j.leakix.net
fqdn,89f502dbc7e4.bingsearchlib.com
fqdn,8aa9ecc4.probe001.log4j.leakix.net
fqdn,8b51f03a2236.bingsearchlib.com
fqdn,8b5e31cb04bf.bingsearchlib.com
fqdn,8bf085ae1724.bingsearchlib.com
fqdn,8c92e83cd554.bingsearchlib.com
fqdn,8cc8e9021b91.bingsearchlib.com
fqdn,8d01ae8527fe.bingsearchlib.com
fqdn,8e1dab694af9.bingsearchlib.com
fqdn,8ea121865922.bingsearchlib.com
fqdn,8fa951c85ea3.bingsearchlib.com
fqdn,9.21fqfx.dnslog.cn
fqdn,90a6fd44cd31.bingsearchlib.com
fqdn,910eef74df8d.bingsearchlib.com
fqdn,91124b924166.bingsearchlib.com
fqdn,9183.ccg42f.dnslog.cn
fqdn,91fd9fef8958.bingsearchlib.com
fqdn,9204dad80d70.bingsearchlib.com
